Date,Open,High,Low,Close,Adj Close,Volume
2023-05-29,4611.450195,4625.100098,4566.000000,4575.250000,4575.250000,194968
2023-05-30,4583.000000,4623.500000,4563.000000,4573.250000,4573.250000,199772
2023-05-31,4571.000000,4683.299805,4565.250000,4657.049805,4657.049805,1536463
2023-06-01,4655.000000,4655.000000,4587.549805,4635.250000,4635.250000,188427
2023-06-02,4637.000000,4718.700195,4635.350098,4654.149902,4654.149902,359550
2023-06-05,4659.899902,4712.500000,4657.049805,4682.600098,4682.600098,349558
2023-06-06,4682.600098,4717.700195,4673.049805,4705.399902,4705.399902,185910
2023-06-07,4715.000000,4907.950195,4715.000000,4893.149902,4893.149902,1390193
2023-06-08,4901.899902,4914.750000,4856.500000,4875.049805,4875.049805,381452
2023-06-09,4886.299805,4980.000000,4836.100098,4878.750000,4878.750000,820375
2023-06-12,4899.000000,4910.000000,4865.000000,4900.250000,4900.250000,233763
2023-06-13,4904.950195,4951.649902,4892.299805,4940.100098,4940.100098,326814
2023-06-14,4947.000000,4977.000000,4922.000000,4941.649902,4941.649902,234174
2023-06-15,4950.000000,5019.899902,4914.299805,4975.450195,4975.450195,452909
2023-06-16,4975.450195,5058.600098,4970.000000,5044.700195,5044.700195,407485
2023-06-19,5050.000000,5064.399902,5002.299805,5021.049805,5021.049805,197576
2023-06-20,5021.049805,5062.500000,5008.049805,5056.450195,5056.450195,251372
2023-06-21,5070.600098,5085.250000,5045.649902,5069.549805,5069.549805,272200
2023-06-22,5065.000000,5071.899902,4975.000000,4987.049805,4987.049805,145196
2023-06-23,4972.049805,4986.950195,4945.299805,4970.799805,4970.799805,191942
2023-06-26,4978.950195,5022.000000,4952.299805,5009.200195,5009.200195,179192
2023-06-27,5000.549805,5037.799805,4949.149902,4954.250000,4954.250000,175475
2023-06-28,4989.000000,5019.950195,4959.899902,4992.149902,4992.149902,253814
2023-06-30,4990.200195,5032.350098,4955.049805,5024.549805,5024.549805,196106
2023-07-03,5035.000000,5048.600098,4990.100098,5008.299805,5008.299805,139105
2023-07-04,5008.299805,5024.899902,4972.549805,5010.149902,5010.149902,121493
2023-07-05,5024.799805,5115.399902,4960.500000,5096.100098,5096.100098,186513
2023-07-06,5199.000000,5270.350098,5121.000000,5173.549805,5173.549805,966410
2023-07-07,5173.549805,5189.549805,5042.899902,5054.500000,5054.500000,224712
2023-07-10,5073.000000,5099.450195,4991.500000,5031.850098,5031.850098,308544
2023-07-11,5050.000000,5157.200195,5050.000000,5083.899902,5083.899902,385742
2023-07-12,5083.899902,5114.850098,5042.350098,5073.899902,5073.899902,180640
2023-07-13,5089.899902,5148.000000,5071.450195,5090.350098,5090.350098,232034
2023-07-14,5118.000000,5150.000000,5085.100098,5133.200195,5133.200195,220335
2023-07-17,5149.950195,5199.000000,5121.100098,5143.450195,5143.450195,272290
2023-07-18,5150.000000,5160.549805,5052.000000,5064.149902,5064.149902,189358
2023-07-19,5081.950195,5144.000000,5050.100098,5065.899902,5065.899902,353528
2023-07-20,5070.000000,5094.000000,5016.049805,5052.549805,5052.549805,327126
2023-07-21,5061.549805,5108.950195,5000.000000,5047.000000,5047.000000,438176
